userName,date,goodsNo,userSexMen,userSexWomen,userHeight,userWeight,goodsSize,reviewContent,reviewImg,reviewStyle,size,bright,color,thickness,weightness,touch,helpNo,styleLikeNo
k_hnnj,2021.10.14,2029080,0,1, 158cm, 48kg,KHAKI/FREE,['핏 예뻐요 길이도 적당하구요 다만 허리가 좀 큰것 같아용'],https://image.msscdn.net/data/estimate/2029080_0/gallery_616805f80832f.jpg.view,1,2,2,2,0,0,0,0,0
ꉂꉂᵔᗜᵔ,2021.08.22,2029080,0,1, 159cm, 60kg,KHAKI/FREE,"['생각보다 짧은 치마', <br/>, '제 체격에는 좀 작게 느껴질만한 사이즈', <br/>, '디자인은 되게 예쁨']",,0,3,2,2,0,0,0,0,0
k_hnnj,2021.08.12,2029080,0,1, 158cm, 48kg,KHAKI/FREE,['핏 예뻐요 길이도 적당하구요 다만 허리가 좀 큰것 같아용'],,0,2,2,2,0,0,0,0,0
k_hnnj,2021.08.24,2029080,0,1, 158cm, 48kg,KHAKI/FREE,['핏 예뻐요 길이도 적당하구요 다만 허리가 좀 큰것 같아용'],https://image.msscdn.net/data/estimate/2029080_0/gallery_612499dc4cea4.jpg.view,0,2,2,2,0,0,0,0,0
heina_,2021.12.10,1625877,0,1, 156cm, 44kg,FREE,"['촉감 진짜 부드럽고 고급스러워보여요', <br/>, '터틀넥이랑 같이 샀는데 잘 입고 다닐거같아요']",,0,2,1,2,0,0,0,0,0
미역이233,2021.08.06,1911322,0,1, 158cm, 54kg,M,"['주름이 많이 가긴 하는데 스판도 좋고 이쁩니다', <br/>, '제 키에는 좀 길어서 무릎까지 오게 수선했더니 더 편해요', <br/>, '바지 27-28입으시면 m 편하게 맞으실것같아요', <br/>, '허리가 약간 넉넉하게 나온 편입니다']",https://image.msscdn.net/data/estimate/1911322_0/gallery_610cbbcd7f6c4.jpg.view,1,2,2,2,0,0,0,0,0
블리츠크랭크!,2021.07.07,1911322,0,1, 159cm, 44kg,S,['리올그 다른치마는 허리 좀 컸는데 이건 잘 맞아요. 좀 구겨지긴 하지만 잘늘어나고 편해용.'],https://image.msscdn.net/data/estimate/1911322_0/gallery_60e5493e16d66.jpg.view,1,2,2,2,0,0,0,0,0
kiyo5me,2021.08.26,1911322,0,1, 158cm, 41kg,S,"['허리가 너무 커서 수선해서 입었어요!', <br/>, '색도 예쁘고 편하고 재질도 좋아서 자주 입을 것 같아요']",,0,1,1,1,0,0,0,0,0
미역이233,2021.08.18,1911322,0,1, 158cm, 54kg,M,['쫀쫀하니 아무데나 잘 어울려서 좋습니다 다만 주름은 잘 져요'],,0,2,2,2,0,0,0,0,0
뉴비_cb9abaee,2021.07.17,1911322,0,1, 158cm, 45kg,S,['신축성있고 색상도 노란끼나 붉은끼 없는 옅은 오트밀색상이예요. 몸에 핏되면서도 신축성있어 움직이기 편안해요. 아무옷에나 두루두루 잘 어울릴듯!'],,0,2,2,2,0,0,0,0,0
3929,2021.07.10,1911322,0,1, 158cm, 47kg,S,['길이도 적당하고 색감도 사진이랑 같아요 무난하게 잘입고 다닐것같아요!'],,0,2,2,2,0,0,0,0,0
블리츠크랭크!,2021.07.07,1911322,0,1, 159cm, 44kg,S,['리올그 다른치마는 허리 좀 컸는데 이건 잘 맞아요. 좀 구겨지긴 하지만 잘늘어나고 편해용.'],,0,2,2,2,0,0,0,0,0
뉴비_7464ee07,2021.08.10,1911322,0,1, 161cm, 48kg,S,"['리올그 스커트가 마음에 드는게', <br/>, '입었을때 과하게 타이트하지 않지만 ', <br/>, '적당히 몸매 라인이 드러나서', <br/>, '다른 스커트입을때보다 훨씬  이뻐요', <br/>, <br/>, '세탁후 다림질을 해줘야하지만 ', <br/>, '그정도 수고는 할만합니다']",https://image.msscdn.net/data/estimate/1911322_0/gallery_6111b19513013.jpg.view,0,2,2,2,0,0,0,0,0
블리츠크랭크!,2021.07.07,1911322,0,1, 159cm, 44kg,S,['리올그 다른치마는 허리 좀 컸는데 이건 잘 맞아요. 좀 구겨지긴 하지만 잘늘어나고 편해용.'],https://image.msscdn.net/data/estimate/1911322_0/gallery_60e549b2081a1.jpg.view,0,2,2,2,0,0,0,0,0
뉴비_8fc24545,2021.10.25,2181815,0,1, 173cm, 53kg,067,"['만족 스럽습니다', <br/>, '너무 귀여워요', <br/>, '이제 추워져서 두꺼운 레깅스에', <br/>, '신고 나가려고']",,0,2,2,2,0,0,0,0,0
뉴비_61967ff7e9ae,2022.01.31,1447415,0,1, 155cm, 44kg,S,['컬러감 예뻐요 상의도 셋업으로 같이 살 수 있었음 좋았을 것 같아요'],https://image.msscdn.net/data/estimate/1447415_0/gallery_61f78bc918168.jpg.view,1,2,2,2,0,0,0,0,0
오늘도쇼핑중,2021.10.15,1447415,0,1, 160cm, 46kg,S,"['사이즈 퀄리티 색상 다 맘에 듭니다', <br/>, '가격도 너무 착해요', <br/>, '상의 블랙과도 코디 잘 됩니다']",https://image.msscdn.net/data/estimate/1447415_0/gallery_61695c03d0aed.jpg.view,1,2,1,1,0,0,0,0,0
뉴비_61967ff7e9ae,2022.02.05,1447415,0,1, 155cm, 44kg,S,"['체구가 작은데도 핏돼서 좋아요', <br/>, '잘 맞아요 색 톤도 차분하고 예쁩니다']",,0,2,2,2,0,0,0,0,0
풒푸릐릥,2022.01.09,1447415,0,1, 162cm, 49kg,M,"['전에있던 치마에 얼룩이 생겨서 재구매 했습니다ㅎㅎ', <br/>, 'S보다는 M이 훨 나은것같네요ㅎ 이뻐요!']",,0,2,2,2,0,0,0,0,0
오늘도쇼핑중,2021.10.20,1447415,0,1, 160cm, 46kg,S,"['너무 이쁜데 왜 픔절 아니죠??', <br/>, '퀄리티 핏 색상 다 좋아요']",,0,2,1,1,0,0,0,0,0
풒푸릐릥,2020.08.23,1447415,0,1, 162cm, 47kg,S,"['기장이 조금 짧았지만 세트를 입었을때 ', <br/>, '더욱 빛났던것같아요! ', <br/>, '싸게 구입해서 너무 좋았습니다', <br/>, '웜톤이기도하고 파란색 계열이 안어울려서 ', <br/>, '많이 고민됬었는데 예상외로 너무 이쁘고 ', <br/>, '잘어울려서 너무 만족스러웠습니다! ', <br/>, '빠른배송 감사드려요:)']",,0,2,2,2,0,0,0,0,0
011123,2020.08.03,1447415,0,1, 150cm, 38kg,S,"['생각보다 색이 어두웠어요!', <br/>, '상의에 비해 사이즈가 작게 나온 것 같기도 해요']",,0,2,3,2,0,0,0,0,0
뉴비_61967ff7e9ae,2022.01.31,1447415,0,1, 155cm, 44kg,S,['예뻐요 소재도 부들부들하고 밑단 포인트가 넘 좋아요'],https://image.msscdn.net/data/estimate/1447415_0/gallery_61f7def6c521a.jpg.view,0,2,2,2,0,0,0,0,0
풒푸릐릥,2022.01.13,1447415,0,1, 162cm, 49kg,M,"['재구매했습니다! ', <br/>, '색감 너무 이뻐요♥︎', <br/>, '배송도 빠르고 잘입겠습니다!']",https://image.msscdn.net/data/estimate/1447415_0/gallery_61dfcb6a24911.jpg.view,0,2,2,2,0,0,0,0,0
담렐,2021.10.24,1447415,0,1, 164cm, 50kg,S,['핏 길이 모두 다 마음에 들어요 무엇보다 디자인이 마음에 드네용 ㅎㅎ'],https://image.msscdn.net/data/estimate/1447415_0/gallery_617437127d044.jpg.view,0,2,2,2,0,0,0,0,0
오늘도쇼핑중,2021.10.15,1447415,0,1, 160cm, 46kg,S,"['사이즈 소재 퀄리티 색상 다 맘에 쏙 듭니다', <br/>, '여기저기 코디하기도 좋을것 같아요']",https://image.msscdn.net/data/estimate/1447415_0/gallery_616973a7b9750.jpg.view,0,2,1,1,0,0,0,0,0
